JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455927.753,8,,,Vis.,MTON,KU,D,,BAAVSS  217.02,D-1,,,Z,,,,Z UMA,BAA-VSS,STD,,,,
2455928.2292,7.6,,,Vis.,VFK,,73,79,3722WFU,LEIPZIG 130/650,,,Z,,,,Z UMA,BAV,STD,,,,
2455928.541,7.8,,,Vis.,TOO,,,,217.02,B7x50,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455929.269,7.7,,,Vis.,SRBR,,NA,,NA,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455929.313,7.5,,,Vis.,BLQ,,,,217.02,M X01 MEAN MAGNITUDE; NE,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455929.4,7.5,,,Vis.,VED,,NA,,NA,,,,Z,,,,Z UMA,AFOEV,STD,,,,
2455929.42361,7.5,,,Vis.,MVH,,7.3,7.9,4645akw,,,,Z,,,,Z UMA,,STD,,,,
2455929.4264,7.8,,,Vis.,LCR,,76,"""80,83""",AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2455929.4708,8.1,,,Vis.,VNL,,73,84,4936PZE,,,,Z,,,,Z UMA,VVS,STD,,,,
2455929.4778,7.6,,,Vis.,FMR,,72,80,S B 97,,,,Z,,,,Z UMA,,STD,,,,
2455929.7299,7.6,,,Vis.,VFK,,73,79,3722WFU,LEIPZIG 130/650,,,Z,,,,Z UMA,BAV,STD,,,,
2455929.75417,7.6,,,Vis.,BBA,B,7.5,7.9,A080628,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455930.36,7.7,,,Vis.,PPS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455930.3701,7.5,,,Vis.,BBI,,73,75,4329DYB,,,,Z,,,,Z UMA,VVS,STD,,,,
2455930.378,7.7,,,Vis.,ASW,,,,217.02,B20x80,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455930.757,7.7,,,Vis.,FNAA,,,,217.02,B12x40,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455930.8896,7.6,,,Vis.,BTB,,75,79,4329cvi,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455931.8076,7.6,,,Vis.,BMK,,73,79,80114,,,,Z,,,,Z UMA,,STD,,,,
2455932.5368,7.5,,,Vis.,FMR,,72,80,S B 97,,,,Z,,,,Z UMA,,STD,,,,
2455932.767,7.9,,,Vis.,MTON,K,D,,BAAVSS  217.02,V=D,,,Z,,,,Z UMA,BAA-VSS,STD,,,,
2455932.95278,7.7,,,Vis.,TYS,,73,79,80515,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455932.9597,7.5,,,Vis.,KMA,,73,83,K,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455933.2257,7.6,,,Vis.,VFK,,73,79,3722WFU,LEIPZIG 203/800,,,Z,,,,Z UMA,BAV,STD,,,,
2455933.325,7.4,,,Vis.,KKAA,BU,73,75,3539bze,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455933.6,7.7,,,Vis.,FRF,,75,79,1071AMX,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455933.74653,7.6,,,Vis.,DMPA,B,75,78,6076VN,,,,Z,,,,Z UMA,,STD,,,,
2455934.413,7.5,,,Vis.,SRBR,,NA,,NA,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455934.8,7.9,,,Vis.,MOW,,NA,,NA,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455935.25,7.5,,,Vis.,BBI,,73,75,4329DYB,,,,Z,,,,Z UMA,VVS,STD,,,,
2455935.4611,7.8,,,Vis.,LCR,,76,"""80,83""",AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2455936.5,7.8,,,Vis.,SHS,,80,75,4178nq,,,,Z,,,,Z UMa,AAVSO,STD,,,,
2455936.7451,7.7,,,Vis.,KMA,,73,83,K,,,,Z,,,,Z UMA,AAVSO,STD,,,,
