Observer,Magnitude,JD
BNA,8.6,2419801.4
BNA,8.2,2419803.4
BNA,8.0,2419807.4
BNA,7.9,2419808.4
BNA,8.0,2419809.4
BNA,7.8,2419811.4
BNA,7.8,2419812.4
BNA,7.6,2419821.4
BNA,7.6,2419822.4
BNA,7.6,2419823.4
BNA,7.5,2419824.4
BNA,7.5,2419828.4
BNA,7.5,2419833.4
BNA,7.4,2419834.4
BNA,7.4,2419835.4
BNA,7.4,2419836.4
BNA,7.5,2419837.4
BNA,7.6,2419838.4
BNA,7.6,2419841.4
BNA,7.6,2419842.4
BNA,7.6,2419843.4
BNA,8.0,2419854.4
BNA,8.0,2419858.4
BNA,8.0,2419859.4
BNA,8.0,2419860.4
BNA,8.3,2419863.4
BNA,8.3,2419873.4
BNA,8.4,2419884.4
BNA,8.3,2419887.4
BNA,8.3,2419889.4
BNA,8.3,2419892.4
BNA,8.3,2419895.4
BNA,8.3,2419898.4
BNA,8.1,2419907.4
BNA,8.0,2419908.4
BNA,7.9,2419912.4
BNA,7.8,2419913.4
BNA,7.8,2419914.4
BNA,7.7,2419916.4
BNA,7.5,2419923.4
BNA,7.3,2419928.4
BNA,7.3,2419929.4
BNA,7.3,2419932.4
BNA,7.3,2419933.4
BNA,7.3,2419934.4
BNA,7.3,2419936.4
BNA,7.4,2419941.4
BNA,7.5,2419945.4
BNA,7.6,2419946.4
BNA,7.6,2419948.4
BNA,7.7,2419961.4
BNA,7.7,2419962.4
BNA,7.9,2419969.4
BNA,8.0,2419973.4
BNA,8.0,2419975.4
BNA,8.3,2419976.4
BNA,8.4,2419977.4
BNA,8.4,2419978.4
BNA,8.2,2419981.4
BNA,8.2,2419982.4
BNA,8.3,2419983.4
BNA,8.1,2419984.4
BNA,7.6,2420001.4
BNA,7.6,2420002.4
BNA,7.6,2420003.4
BNA,7.6,2420007.4
BNA,7.5,2420010.4
BNA,7.3,2420027.4
BNA,7.3,2420029.4
BNA,7.3,2420030.4
BNA,7.3,2420033.4
BNA,7.5,2420034.4
BNA,7.6,2420035.4
BNA,7.6,2420036.4
BNA,7.6,2420037.4
BNA,7.6,2420038.4
BNA,7.6,2420039.4
BNA,7.6,2420040.4
BNA,7.6,2420043.4
BNA,7.6,2420047.4
BNA,7.6,2420049.4
BNA,7.6,2420052.4
BNA,7.7,2420058.4
BNA,7.6,2420059.4
BNA,7.7,2420060.4
BNA,7.7,2420065.4
BNA,7.8,2420067.4
BNA,7.8,2420069.4
BNA,7.9,2420074.4
BNA,7.9,2420079.4
BNA,8.0,2420092.4
BNA,7.9,2420102.4
BNA,7.7,2420105.4
BNA,7.5,2420110.4
BNA,7.5,2420111.4
BNA,7.3,2420117.4
BNA,7.3,2420121.4
BNA,7.2,2420122.4
BNA,7.3,2420124.4
BNA,7.3,2420128.4
BNA,7.3,2420130.4
BNA,7.5,2420134.4
BNA,7.4,2420135.4
BNA,7.3,2420141.4
BNA,7.6,2420155.4
BNA,7.6,2420156.4
BNA,7.8,2420157.4
BNA,7.8,2420158.4
BNA,7.8,2420159.4
BNA,7.9,2420166.4
BNA,7.9,2420167.4
BNA,8.0,2420170.4
BNA,7.9,2420176.4
BNA,8.0,2420182.4
BNA,8.0,2420184.4
BNA,7.9,2420185.4
BNA,7.9,2420200.4
BNA,7.8,2420203.4
BNA,7.7,2420206.4
BNA,7.6,2420209.4
BNA,7.5,2420215.4
BNA,7.4,2420220.4
BNA,7.3,2420222.4
BNA,7.3,2420223.4
BNA,7.3,2420240.4
BNA,7.3,2420241.4
BNA,7.4,2420243.4
BNA,7.5,2420245.4
BNA,7.6,2420246.4
BNA,7.6,2420249.4
BNA,7.6,2420250.4
BNA,7.6,2420255.4
BNA,7.9,2420265.4
BNA,7.9,2420267.4
BNA,8.0,2420268.4
BNA,7.9,2420271.4
BNA,8.0,2420273.4
BNA,7.9,2420275.4
BNA,7.8,2420281.4
BNA,7.8,2420282.4
BNA,7.8,2420287.4
BNA,7.8,2420290.4
BNA,7.7,2420293.4
BNA,7.7,2420296.4
BNA,7.6,2420299.4
BNA,7.6,2420304.4
BNA,7.6,2420307.4
BNA,7.6,2420309.4
BNA,7.6,2420318.4
BNA,7.6,2420323.4
BNA,7.6,2420324.4
BNA,7.5,2420327.4
BNA,7.6,2420331.4
BNA,7.7,2420332.4
BNA,8.0,2421775.4
BNA,8.0,2421777.4
BNA,8.0,2421780.4
BNA,8.0,2421786.4
BNA,8.0,2422032.4
BNA,8.4,2422070.4
BNA,8.3,2422071.4
BNA,7.6,2422103.4
BNA,7.8,2422111.4
BNA,7.8,2422114.4
BNA,7.8,2422116.4
BNA,7.7,2422117.4
BNA,7.8,2422124.4
BNA,7.8,2422128.4
BNA,7.8,2422131.4
BNA,7.9,2422159.4
BNA,7.9,2422165.4
BNA,7.8,2422171.4
BNA,7.4,2422190.4
BNA,7.5,2422195.4
BNA,7.5,2422203.4
BNA,7.7,2422226.4
BNA,7.8,2422227.4
BNA,8.0,2422252.4
BNA,7.7,2422272.4
BNA,7.6,2422276.4
BNA,7.5,2422290.4
BNA,7.5,2422303.4
BNA,7.6,2422313.4
BNA,7.6,2422317.4
BNA,8.0,2422340.4
BNA,8.0,2422345.4
BNA,8.0,2422347.4
BNA,8.3,2422352.4
BNA,8.3,2422359.4
BNA,8.2,2422368.4
BNA,8.0,2422372.4
BNA,7.6,2422386.4
BNA,7.6,2422389.4
BNA,7.6,2422399.4
BNA,7.6,2422402.4
BNA,7.5,2422403.4
BNA,7.6,2422404.4
BNA,7.6,2422405.4
BNA,7.6,2422409.4
BNA,7.6,2422410.4
BNA,7.7,2422420.4
BNA,7.9,2422425.4
BNA,8.2,2422436.4
BNA,8.2,2422451.4
BNA,8.3,2422453.4
BNA,8.0,2422459.4
BNA,8.0,2422460.4
BNA,7.6,2422470.4
BNA,7.6,2422474.4
BNA,7.4,2422481.4
BNA,7.4,2422482.4
BNA,7.5,2422494.4
BNA,7.6,2422497.4
BNA,7.6,2422498.4
BNA,7.8,2422515.4
BNA,7.8,2422516.4
BNA,7.8,2422518.4
BNA,7.8,2422519.4
BNA,7.9,2422521.4
BNA,7.8,2422525.4
BNA,8.0,2422534.4
BNA,8.0,2422538.4
BNA,8.1,2422542.4
BNA,8.0,2422543.4
BNA,8.0,2422544.4
BNA,8.1,2422548.4
BNA,8.1,2422551.4
BNA,8.0,2422556.4
BNA,8.0,2422557.4
BNA,7.9,2422562.4
BNA,7.8,2422566.4
BNA,7.6,2422567.4
BNA,7.6,2422572.4
BNA,7.6,2422573.4
BNA,7.6,2422575.4
BNA,7.6,2422579.4
BNA,7.6,2422581.4
BNA,7.5,2422586.4
BNA,7.5,2422589.4
BNA,7.6,2422596.4
BNA,7.6,2422600.4
BNA,7.6,2422601.4
BNA,7.9,2422612.4
BNA,8.0,2422619.4
BNA,8.3,2422626.4
BNA,8.3,2422628.4
BNA,8.4,2422634.4
BNA,8.3,2422636.4
BNA,8.1,2422646.4
BNA,8.0,2422653.4
BNA,7.6,2422689.4
BNA,7.4,2422691.4
BNA,7.5,2422696.4
BNA,7.9,2422703.4
BNA,8.0,2422706.4
BNA,7.9,2422719.4
BNA,7.9,2422721.4
BNA,7.9,2422724.4
BNA,8.0,2422733.4
BNA,7.9,2422734.4
BNA,8.0,2422736.4
BNA,8.0,2422738.4
BNA,8.0,2422741.4
BNA,8.1,2422744.4
BNA,8.2,2422746.4
BNA,8.3,2422749.4
BNA,8.3,2422752.4
BNA,8.3,2422753.4
BNA,8.3,2422757.4
BNA,8.3,2422759.4
BNA,8.4,2422760.4
BNA,8.3,2422765.4
BNA,8.3,2422768.4
BNA,8.3,2422772.4
BNA,8.3,2422781.4
BNA,8.0,2422783.4
BNA,8.0,2422785.4
BNA,8.0,2422788.4
BNA,8.0,2422809.4
BNA,8.0,2422812.4
BNA,7.9,2422816.4
BNA,8.0,2422839.4
BNA,8.0,2422841.4
BNA,8.0,2422851.4
BNA,7.9,2422853.4
BNA,7.6,2422865.4
BNA,7.5,2422872.4
BNA,7.4,2422880.4
BNA,7.5,2422882.4
BNA,7.5,2422893.4
BNA,7.5,2422894.4
BNA,7.4,2422896.4
BNA,7.4,2422897.4
BNA,7.4,2422898.4
BNA,7.6,2422900.4
BNA,7.6,2422902.4
BNA,7.7,2422903.4
BNA,7.7,2422904.4
BNA,7.8,2422907.4
BNA,7.8,2422908.4
BNA,8.0,2422929.4
BNA,8.1,2422930.4
BNA,8.2,2422932.4
BNA,8.3,2422938.4
BNA,8.4,2422940.4
BNA,8.5,2422955.4
BNA,8.5,2422956.4
BNA,8.5,2422957.4
BNA,8.5,2422960.4
BNA,8.5,2422962.4
BNA,8.5,2422963.4
BNA,8.6,2422964.4
BNA,8.4,2422966.4
BNA,8.5,2422968.4
BNA,8.3,2422981.4
BNA,8.1,2422983.4
BNA,8.0,2422989.4
BNA,7.9,2423001.4
BNA,7.8,2423014.4
BNA,8.0,2423016.4
BNA,7.9,2423030.4
BNA,7.8,2423045.4
BNA,7.6,2423068.4
BNA,7.6,2423074.4
BNA,7.6,2423075.4
BNA,7.6,2423080.4
BNA,7.5,2423081.4
BNA,7.6,2423093.4
BNA,7.5,2423094.4
BNA,7.6,2423103.4
BNA,7.8,2423106.4
BNA,7.8,2423108.4
BNA,7.8,2423110.4
BNA,7.9,2423112.4
BNA,7.8,2423114.4
BNA,8.0,2423120.4
BNA,8.2,2423127.4
BNA,8.1,2423131.4
BNA,8.4,2423149.4
BNA,8.6,2423165.4
BNA,8.4,2423168.4
BNA,8.5,2423172.4
BNA,8.5,2423173.4
BNA,8.4,2423182.4
BNA,8.3,2423189.4
BNA,8.0,2423194.4
BNA,8.0,2423197.4
BNA,7.9,2423199.4
BNA,7.9,2423204.4
BNA,7.8,2423205.4
BNA,7.8,2423209.4
BNA,7.8,2423221.4
BNA,7.6,2423225.4
BNA,7.6,2423229.4
BNA,7.6,2423233.4
BNA,7.6,2423236.4
BNA,7.6,2423239.4
BNA,7.6,2423255.4
BNA,7.5,2423256.4
BNA,7.6,2423261.4
BNA,7.5,2423265.4
BNA,7.6,2423283.4
BNA,7.5,2423285.4
BNA,7.7,2423287.4
BNA,7.6,2423291.4
BNA,7.7,2423293.4
BNA,7.9,2423312.4
BNA,8.0,2423314.4
BNA,8.0,2423318.4
BNA,7.9,2423320.4
BNA,8.0,2423323.4
BNA,8.0,2423325.4
BNA,8.0,2423328.4
BNA,8.3,2423338.4
BNA,8.3,2423341.4
BNA,8.3,2423342.4
BNA,8.2,2423344.4
BNA,8.4,2423358.4
BNA,8.4,2423364.4
BNA,8.4,2423370.4
BNA,8.3,2423372.4
BNA,8.1,2423375.4
BNA,7.9,2423381.4
BNA,7.7,2423401.4
BNA,7.6,2423403.4
BNA,7.6,2423410.4
BNA,7.6,2423414.4
BNA,7.8,2423437.4
BNA,7.9,2423442.4
BNA,7.8,2423457.4
BNA,7.8,2423460.4
BNA,7.8,2423467.4
BNA,7.7,2423492.4
BNA,7.8,2423495.4
BNA,7.9,2423498.4
BNA,7.8,2423501.4
BNA,8.0,2423503.4
BNA,8.0,2423504.4
BNA,8.0,2423511.4
BNA,8.0,2423513.4
BNA,8.2,2423514.4
BNA,8.3,2423518.4
BNA,8.4,2423524.4
BNA,8.3,2423529.4
BNA,8.1,2423531.4
BNA,8.1,2423535.4
BNA,8.0,2423542.4
BNA,7.9,2423543.4
BNA,8.0,2423544.4
BNA,8.0,2423545.4
BNA,7.9,2423552.4
BNA,7.9,2423555.4
BNA,7.7,2423560.4
BNA,7.4,2423572.4
BNA,7.5,2423573.4
BNA,7.5,2423579.4
BNA,7.5,2423581.4
BNA,7.6,2423583.4
BNA,7.5,2423588.4
BNA,7.5,2423594.4
BNA,7.4,2423600.4
BNA,7.4,2423601.4
BNA,7.4,2423604.4
BNA,7.5,2423611.4
BNA,7.5,2423615.4
BNA,7.4,2423620.4
BNA,7.9,2423636.4
BNA,7.9,2423637.4
BNA,7.9,2423638.4
BNA,7.9,2423639.4
BNA,7.9,2423641.4
BNA,8.0,2423644.4
