 0 1 2
0 1928 1 22
1 1928 1 25
2 1928 1 28
3 1928 1 31
4 1928 2 9
5 1928 2 11
6 1928 2 20
7 1934 3 29
8 1934 4 3
9 1934 4 5
10 1934 5 17
11 1934 5 18
12 1934 6 7
13 1934 6 21
14 1934 6 21
15 1934 6 24
16 1934 6 26
17 1934 6 29
18 1934 6 30
19 1934 7 3
20 1934 7 11
21 1934 7 13
22 1934 7 14
23 1934 7 15
24 1934 7 15
25 1934 7 17
26 1934 7 18
27 1934 7 18
28 1934 7 18
29 1934 7 19
30 1934 7 19
31 1934 7 20
32 1934 7 21
33 1934 7 21
34 1934 7 22
35 1934 7 22
36 1934 7 23
37 1934 7 23
38 1934 7 24
39 1934 8 1
40 1934 8 1
41 1934 8 2
42 1934 8 2
43 1934 8 4
44 1934 8 5
45 1934 8 6
46 1934 8 6
47 1934 8 7
48 1934 8 9
49 1934 8 12
50 1934 8 18
51 1934 8 22
52 1934 8 27
53 1934 8 28
54 1934 8 30
55 1934 8 30
56 1934 8 31
57 1934 9 2
58 1934 9 5
59 1934 9 6
60 1934 9 11
61 1934 9 11
62 1934 9 21
63 1934 9 26
64 1934 9 27
65 1934 9 28
66 1934 9 29
67 1934 10 2
68 1934 10 3
69 1934 10 3
70 1934 10 8
71 1934 10 8
72 1934 10 9
73 1934 10 10
74 1934 10 13
75 1934 10 14
76 1934 10 17
77 1934 10 20
78 1934 10 25
79 1934 10 25
80 1934 10 26
81 1934 10 29
82 1934 11 2
83 1934 11 3
84 1934 11 3
85 1934 11 5
86 1934 11 6
87 1934 11 10
88 1934 11 10
89 1934 11 13
90 1934 11 13
91 1934 11 25
92 1934 12 2
93 1934 12 2
94 1934 12 3
95 1934 12 8
96 1934 12 9
97 1934 12 10
98 1934 12 10
99 1934 12 18
100 1934 12 18
101 1934 12 26
102 1934 12 28
103 1934 12 28
104 1934 12 31
105 1934 12 31
106 1935 1 2
107 1935 1 3
108 1935 1 11
109 1935 1 12
110 1935 1 13
111 1935 1 13
112 1935 1 13
113 1935 1 25
114 1935 1 28
115 1935 1 28
116 1935 1 30
117 1935 1 31
118 1935 2 1
119 1935 2 5
120 1935 2 7
121 1935 2 7
122 1935 2 8
123 1935 2 8
124 1935 2 11
125 1935 2 12
126 1935 2 12
127 1935 2 13
128 1935 2 16
129 1935 2 20
130 1935 2 21
131 1935 2 22
132 1935 2 26
133 1935 2 28
134 1935 2 28
135 1935 3 1
136 1935 3 1
137 1935 3 4
138 1935 3 4
139 1935 3 4
140 1935 3 9
141 1935 3 9
142 1935 3 10
143 1935 3 10
144 1935 3 16
145 1935 3 23
146 1935 3 25
147 1935 3 25
148 1935 3 26
149 1935 3 27
150 1935 3 27
151 1935 3 28
152 1935 4 3
153 1935 4 3
154 1935 4 4
155 1935 4 9
156 1935 4 19
157 1935 4 19
158 1935 4 21
159 1935 4 25
160 1935 4 26
161 1935 4 26
162 1935 4 26
163 1935 5 2
164 1935 5 12
165 1935 5 13
166 1935 5 16
167 1935 5 20
168 1935 5 20
169 1935 5 21
170 1935 5 21
171 1935 5 23
172 1935 5 24
173 1935 5 26
174 1935 5 26
175 1935 5 26
176 1935 5 28
177 1935 5 28
178 1935 5 28
179 1935 5 28
180 1935 5 29
181 1935 5 31
182 1935 5 31
183 1935 6 3
184 1935 6 3
185 1935 6 12
186 1935 6 14
187 1935 6 14
188 1935 6 14
189 1935 6 16
190 1935 6 17
191 1935 6 17
192 1935 6 17
193 1935 6 21
194 1935 6 21
195 1935 6 24
196 1935 6 24
197 1935 6 25
198 1935 6 26
199 1935 6 26
200 1935 6 27
201 1935 6 27
202 1935 6 29
203 1935 6 29
204 1935 6 29
205 1935 6 29
206 1935 6 29
207 1935 7 1
208 1935 7 1
209 1935 7 1
210 1935 7 2
211 1935 7 3
212 1935 7 3
213 1935 7 3
214 1935 7 3
215 1935 7 4
216 1935 7 4
217 1935 7 4
218 1935 7 6
219 1935 7 7
220 1935 7 7
221 1935 7 7
222 1935 7 8
223 1935 7 11
224 1935 7 11
225 1935 7 11
226 1935 7 12
227 1935 7 13
228 1935 7 14
229 1935 7 14
230 1935 7 14
231 1935 7 14
232 1935 7 15
233 1935 7 18
234 1935 7 19
235 1935 7 19
236 1935 7 19
237 1935 7 19
238 1935 7 20
239 1935 7 20
240 1935 7 21
241 1935 7 22
242 1935 7 25
243 1935 7 26
244 1935 7 27
245 1935 7 27
246 1935 7 27
247 1935 7 27
248 1935 7 28
249 1935 7 29
250 1935 7 30
251 1935 7 30
252 1935 7 31
253 1935 7 31
254 1935 8 1
255 1935 8 2
256 1935 8 4
257 1935 8 5
258 1935 8 5
259 1935 8 6
260 1935 8 6
261 1935 8 7
262 1935 8 16
263 1935 8 18
264 1935 8 19
265 1935 8 21
266 1935 8 21
267 1935 8 24
268 1935 8 24
269 1935 8 24
270 1935 8 25
